gene_name,gene_id,genome
RUFY3,ENSG00000018189,hg38
CNTN1,ENSG00000018236,hg38
SLC11A1,ENSG00000018280,hg38
WWTR1,ENSG00000018408,hg38
AGPS,ENSG00000018510,hg38
ZNF285CP,ENSG00000018607,hg38
STEEP1,ENSG00000018610,hg38
ATP1A2,ENSG00000018625,hg38
TTC27,ENSG00000018699,hg38
ZNF582,ENSG00000018869,hg38
VSIG2,ENSG00000019102,hg38
PHLDB1,ENSG00000019144,hg38
MARCO,ENSG00000019169,hg38
CYP24A1,ENSG00000019186,hg38
PRDM11,ENSG00000019485,hg38
SYT13,ENSG00000019505,hg38
SNAI2,ENSG00000019549,hg38
CD74,ENSG00000019582,hg38
HGF,ENSG00000019991,hg38
ZRANB1,ENSG00000019995,hg38
NCDN,ENSG00000020129,hg38
ADGRA2,ENSG00000020181,hg38
CCT8L1P,ENSG00000020219,hg38
ZFP64,ENSG00000020256,hg38
MNAT1,ENSG00000020426,hg38
SAMD4A,ENSG00000020577,hg38
RUNX3,ENSG00000020633,hg38
MRE11,ENSG00000020922,hg38
PLEKHB1,ENSG00000021300,hg38
SERPINB1,ENSG00000021355,hg38
CYP3A43,ENSG00000021461,hg38
SLC7A9,ENSG00000021488,hg38
SPAST,ENSG00000021574,hg38
NRXN3,ENSG00000021645,hg38
OSBPL5,ENSG00000021762,hg38
AQR,ENSG00000021776,hg38
CPS1,ENSG00000021826,hg38
C8B,ENSG00000021852,hg38
FHL1,ENSG00000022267,hg38
RTF2,ENSG00000022277,hg38
GABRA1,ENSG00000022355,hg38
NLRP2,ENSG00000022556,hg38
SLC45A4,ENSG00000022567,hg38
RNF10,ENSG00000022840,hg38
ZNF839,ENSG00000022976,hg38
ZDHHC6,ENSG00000023041,hg38
GRAMD1B,ENSG00000023171,hg38
RNH1,ENSG00000023191,hg38
NDUFS1,ENSG00000023228,hg38
RB1CC1,ENSG00000023287,hg38
ERP44,ENSG00000023318,hg38
ALAS1,ENSG00000023330,hg38
